range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
D,football_data_538135,EPL,2026-05-09 22:00,Sunderland,Man United,Man United,-0.5,Man United AH -0.5,0.5338,1.873,1.967,
D,football_data_544550,LaLiga,2026-05-05 03:00,Sevilla,Sociedad,Sevilla,+0.5,Sevilla AH +0.5,0.5336,1.874,1.968,
D,football_data_538137,EPL,2026-05-10 21:00,Crystal Palace,Everton,Crystal Palace,+0.5,Crystal Palace AH +0.5,0.5307,1.884,1.978,
D,football_data_537173,SerieA,2026-05-10 21:00,Cremonese,Pisa,Cremonese,0,Cremonese AH 0,0.5286,1.892,1.986,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Alaves,+0.5,Alaves AH +0.5,0.5273,1.896,1.991,
D,football_data_538140,EPL,2026-05-09 19:30,Liverpool,Chelsea,Chelsea,+1,Chelsea AH +1,0.5265,1.899,1.994,
D,football_data_540696,Bundesliga,2026-05-09 02:30,Dortmund,Ein Frankfurt,Dortmund,-1.5,Dortmund AH -1.5,0.5259,1.902,1.997,
D,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,Arsenal,-1,Arsenal AH -1,0.5243,1.907,2.003,2.08
D,football_data_537172,SerieA,2026-05-12 02:45,Napoli,Bologna,Bologna,+0.5,Bologna AH +0.5,0.5236,1.91,2.005,
D,football_data_537167,SerieA,2026-05-09 21:00,Cagliari,Udinese,Udinese,0,Udinese AH 0,0.5227,1.913,2.009,
D,football_data_538143,EPL,2026-05-12 03:00,Tottenham,Leeds,Tottenham,+1,Tottenham AH +1,0.5207,1.92,2.016,
D,football_data_538136,EPL,2026-05-09 22:00,Brighton,Wolves,Brighton,-0.5,Brighton AH -0.5,0.5167,1.935,2.032,
D,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Freiburg,0,Freiburg AH 0,0.5167,1.935,2.032,
D,football_data_538141,EPL,2026-05-10 00:30,Man City,Brentford,Brentford,+1,Brentford AH +1,0.5165,1.936,2.033,
D,football_data_537168,SerieA,2026-05-09 02:45,Torino,Sassuolo,Sassuolo,-0.5,Sassuolo AH -0.5,0.5162,1.937,2.034,
D,football_data_544557,LaLiga,2026-05-10 03:00,Sociedad,Betis,Sociedad,-0.5,Sociedad AH -0.5,0.5161,1.938,2.035,
D,football_data_540700,Bundesliga,2026-05-11 01:30,Mainz,Union Berlin,Mainz,-0.5,Mainz AH -0.5,0.5146,1.943,2.041,
