range_hint,match_id,league,kickoff,home_team,away_team,team,direction,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
D,football_data_537170,SerieA,2026-05-10 00:00,Lazio,Inter Milan,Inter Milan,Under,2.5,Inter Milan U2.5,0.5227,1.913,2.009,
D,football_data_538142,EPL,2026-05-10 21:00,Nott'm Forest,Newcastle,Nott'm Forest,Under,1.5,Nott'm Forest U1.5,0.5224,1.914,2.01,
D,football_data_540700,Bundesliga,2026-05-11 01:30,Mainz,Union Berlin,Union Berlin,Over,0.5,Union Berlin O0.5,0.521,1.919,2.015,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Elche,Over,1.5,Elche O1.5,0.5151,1.941,2.038,
D,football_data_537168,SerieA,2026-05-09 02:45,Torino,Sassuolo,Sassuolo,Over,1.5,Sassuolo O1.5,0.5117,1.954,2.052,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Barcelona,Under,1.5,Barcelona U1.5,0.5118,1.954,2.052,
D,football_data_540696,Bundesliga,2026-05-09 02:30,Dortmund,Ein Frankfurt,Dortmund,Under,2.5,Dortmund U2.5,0.5003,1.999,2.099,
D,football_data_540696,Bundesliga,2026-05-09 02:30,Dortmund,Ein Frankfurt,Dortmund,Over,2.5,Dortmund O2.5,0.4997,2.001,2.101,
D,football_data_537168,SerieA,2026-05-09 02:45,Torino,Sassuolo,Sassuolo,Under,1.5,Sassuolo U1.5,0.4883,2.048,2.15,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Barcelona,Over,1.5,Barcelona O1.5,0.4882,2.048,2.151,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Elche,Under,1.5,Elche U1.5,0.4849,2.062,2.165,
D,football_data_540700,Bundesliga,2026-05-11 01:30,Mainz,Union Berlin,Union Berlin,Under,0.5,Union Berlin U0.5,0.479,2.088,2.192,
D,football_data_538142,EPL,2026-05-10 21:00,Nott'm Forest,Newcastle,Nott'm Forest,Over,1.5,Nott'm Forest O1.5,0.4776,2.094,2.198,
D,football_data_537170,SerieA,2026-05-10 00:00,Lazio,Inter Milan,Inter Milan,Over,2.5,Inter Milan O2.5,0.4773,2.095,2.2,
D,football_data_537169,SerieA,2026-05-10 18:30,Verona,Como,Como,Under,2.5,Como U2.5,0.4729,2.115,2.22,
D,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Mallorca,Over,1.5,Mallorca O1.5,0.4702,2.127,2.233,
D,football_data_538136,EPL,2026-05-09 22:00,Brighton,Wolves,Wolves,Under,0.5,Wolves U0.5,0.4677,2.138,2.245,2.00
D,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Lorient,Under,1.5,Lorient U1.5,0.4658,2.147,2.254,
D,football_data_544552,LaLiga,2026-05-10 00:30,Atletico Madrid,Celta,Atletico Madrid,Under,1.5,Atletico Madrid U1.5,0.4637,2.156,2.264,
D,football_data_537165,SerieA,2026-05-10 21:00,Fiorentina,Genoa,Genoa,Under,1.5,Genoa U1.5,0.4608,2.17,2.279,
D,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Villarreal,Under,1.5,Villarreal U1.5,0.4605,2.172,2.28,
D,football_data_538135,EPL,2026-05-09 22:00,Sunderland,Man United,Man United,Over,1.5,Man United O1.5,0.4604,2.172,2.281,
D,football_data_544559,LaLiga,2026-05-11 00:30,Real Oviedo,Getafe,Real Oviedo,Over,1.5,Real Oviedo O1.5,0.4588,2.18,2.289,
D,football_data_542696,L1,2026-05-11 03:00,Monaco,Lille,Lille,Over,1.5,Lille O1.5,0.4558,2.194,2.304,
D,football_data_540695,Bundesliga,2026-05-09 21:30,Stuttgart,Leverkusen,Leverkusen,Over,1.5,Leverkusen O1.5,0.4528,2.208,2.319,
